Age,Year,Rate,Count,Pop
71 years,2007,27.2713,36,"132,007"
71 years,2008,22.3012,30,"134,522"
71 years,2009,28.263,40,"141,528"
71 years,2010,22.8939,33,"144,143"
71 years,2011,19.9219,30,"150,588"
71 years,2012,23.8368,37,"155,222"
71 years,2013,26.3514,44,"166,974"
71 years,2014,9.4915,18,"189,644"
71 years,2015,19.8062,37,"186,810"
71 years,2016,20.5297,39,"189,969"
71 years,2017,19.9855,38,"190,138"
71 years,2018,20.3965,51,"250,043"
71 years,2019,14.9916,36,"240,134"
72 years,1975-2019,31.6486,"1,819","5,747,482"
72 years,1975,42.4788,35,"82,394"
72 years,1976,40.9218,35,"85,529"
72 years,1977,35.3938,31,"87,586"
72 years,1978,47.9082,43,"89,755"
72 years,1979,54.6747,50,"91,450"
72 years,1980,36.5162,35,"95,848"
72 years,1981,43.7441,43,"98,299"
72 years,1982,50.5807,51,"100,829"
72 years,1983,51.3029,53,"103,308"
72 years,1984,50.1941,53,"105,590"
72 years,1985,35.3294,38,"107,559"
72 years,1986,43.1973,47,"108,803"
72 years,1987,36.5587,40,"109,413"
72 years,1988,43.4932,48,"110,362"
72 years,1989,36.0196,41,"113,827"
72 years,1990,32.1595,38,"118,161"
72 years,1991,45.5977,55,"120,620"
72 years,1992,33.2132,41,"123,445"
72 years,1993,29.87,39,"130,566"
72 years,1994,41.1447,54,"131,244"
72 years,1995,28.2981,36,"127,217"
72 years,1996,28.0903,36,"128,158"
72 years,1997,28.0145,36,"128,505"
72 years,1998,36.0193,45,"124,933"
72 years,1999,37.2649,47,"126,124"
72 years,2000,38.1617,49,"128,401"
72 years,2001,34.166,43,"125,856"
72 years,2002,33.768,44,"130,301"
72 years,2003,22.2478,28,"125,855"
72 years,2004,32.3504,40,"123,646"
72 years,2005,34.9301,43,"123,103"
72 years,2006,29.4937,36,"122,060"
72 years,2007,30.6056,40,"130,695"
72 years,2008,24.8973,32,"128,528"
72 years,2009,26.6391,35,"131,386"
72 years,2010,19.5256,27,"138,280"
72 years,2011,22.6639,32,"141,194"
72 years,2012,23.7176,35,"147,570"
72 years,2013,26.2859,40,"152,173"
72 years,2014,25.0761,41,"163,502"
72 years,2015,17.7712,33,"185,694"
72 years,2016,23.4879,43,"183,073"
72 years,2017,17.2158,32,"185,876"
72 years,2018,20.9472,39,"186,182"
72 years,2019,15.1279,37,"244,582"
73 years,1975-2019,31.9827,"1,740","5,440,436"
73 years,1975,35.9655,27,"75,072"
73 years,1976,49.4652,40,"80,865"
73 years,1977,48.1806,40,"83,021"
73 years,1978,43.1628,37,"85,722"
73 years,1979,41.0598,36,"87,677"
73 years,1980,40.5748,36,"88,725"
73 years,1981,50.3123,46,"91,429"
73 years,1982,39.3395,37,"94,053"
73 years,1983,53.569,52,"97,071"
73 years,1984,40.1893,40,"99,529"
73 years,1985,49.8929,51,"102,219"
73 years,1986,41.3136,43,"104,082"
73 years,1987,40.6704,43,"105,728"
73 years,1988,34.6416,37,"106,808"
73 years,1989,37.0442,40,"107,979"
73 years,1990,35.3063,39,"110,462"
73 years,1991,48.9502,55,"112,359"
73 years,1992,32.7267,38,"116,113"
73 years,1993,39.3925,47,"119,312"
73 years,1994,33.2847,42,"126,184"
73 years,1995,34.4132,44,"127,858"
73 years,1996,31.3002,39,"124,600"
73 years,1997,24.6961,31,"125,526"
73 years,1998,38.0072,48,"126,292"
73 years,1999,37.7959,47,"124,352"
73 years,2000,41.3207,52,"125,845"
73 years,2001,35.9891,45,"125,038"
73 years,2002,26.9287,33,"122,546"
73 years,2003,25.201,32,"126,979"
73 years,2004,39.1067,48,"122,741"
73 years,2005,20.6562,25,"121,029"
73 years,2006,36.5385,44,"120,421"
73 years,2007,20.0845,24,"119,495"
73 years,2008,25.8105,33,"127,855"
73 years,2009,17.4344,22,"126,187"
73 years,2010,25.6783,33,"128,513"
73 years,2011,22.9095,31,"135,315"
73 years,2012,31.1053,43,"138,240"
73 years,2013,24.2899,35,"144,093"
73 years,2014,19.4773,29,"148,891"
73 years,2015,23.1387,37,"159,905"
73 years,2016,22.0216,40,"181,640"
73 years,2017,17.8769,32,"179,002"
73 years,2018,15.9464,29,"181,859"
73 years,2019,20.9016,38,"181,804"
74 years,1975-2019,34.6363,"1,803","5,205,519"
74 years,1975,68.382,51,"74,581"
74 years,1976,45.3571,33,"72,756"
74 years,1977,54.2362,42,"77,439"
74 years,1978,38.7941,31,"79,909"
74 years,1979,38.8463,32,"82,376"
74 years,1980,48.596,41,"84,369"
74 years,1981,45.9353,40,"87,079"
74 years,1982,34.5519,31,"89,720"
74 years,1983,44.2961,41,"92,559"
74 years,1984,37.8139,36,"95,203"
74 years,1985,31.6941,31,"97,810"
74 years,1986,39.9218,40,"100,196"
74 years,1987,46.0234,47,"102,122"
74 years,1988,45.2119,47,"103,955"
74 years,1989,44.7841,47,"104,948"
74 years,1990,52.0075,55,"105,754"
74 years,1991,39.178,42,"107,203"
74 years,1992,43.806,48,"109,574"
74 years,1993,46.0915,52,"112,819"
74 years,1994,38.7647,45,"116,085"
74 years,1995,28.3426,35,"123,489"
74 years,1996,36.0107,45,"124,963"
74 years,1997,36.1652,44,"121,664"
74 years,1998,42.9508,53,"123,397"
74 years,1999,51.2636,64,"124,845"
74 years,2000,35.1167,43,"122,449"
74 years,2001,35.9806,44,"122,288"
74 years,2002,30.4991,37,"121,315"
74 years,2003,30.2214,36,"119,121"
74 years,2004,20.2906,25,"123,210"
74 years,2005,37.6515,45,"119,517"
74 years,2006,36.4886,43,"117,845"
74 years,2007,27.3872,32,"116,843"
74 years,2008,30.9864,36,"116,180"
74 years,2009,27.3239,34,"124,433"
74 years,2010,28.3833,35,"123,312"
74 years,2011,22.315,28,"125,476"
74 years,2012,32.5193,43,"132,229"
74 years,2013,25.9519,35,"134,865"
74 years,2014,26.2984,37,"140,693"
74 years,2015,22.0166,32,"145,345"
74 years,2016,19.8559,31,"156,125"
74 years,2017,20.2994,36,"177,345"
74 years,2018,22.9043,40,"174,640"
74 years,2019,21.4117,38,"177,473"
75 years,1975-2019,36.7533,"1,817","4,943,778"
75 years,1975,33.9679,24,"70,655"
75 years,1976,63.6924,44,"69,082"
75 years,1977,50.4886,34,"67,342"
75 years,1978,65.06,47,"72,241"
75 years,1979,54.4041,41,"75,362"
75 years,1980,50.744,40,"78,827"
75 years,1981,55.3506,45,"81,300"
75 years,1982,39.485,33,"83,576"
75 years,1983,44.1917,38,"85,989"
75 years,1984,41.8798,37,"88,348"
75 years,1985,54.8847,50,"91,100"
75 years,1986,43.8086,41,"93,589"
75 years,1987,50.7919,49,"96,472"
75 years,1988,43.709,43,"98,378"
75 years,1989,64.9182,65,"100,126"
75 years,1990,47.9856,49,"102,114"
75 years,1991,51.2508,53,"103,413"
75 years,1992,40.9485,43,"105,010"
75 years,1993,49.306,53,"107,492"
75 years,1994,30.5703,34,"111,219"
75 years,1995,50.4286,58,"115,014"
75 years,1996,38.5022,47,"122,071"
75 years,1997,38.029,47,"123,590"
75 years,1998,43.1467,52,"120,519"
75 years,1999,27.041,33,"122,037"
75 years,2000,32.5882,40,"122,744"
75 years,2001,37.9962,45,"118,433"
75 years,2002,35.5574,42,"118,119"
75 years,2003,27.3296,32,"117,089"
75 years,2004,34.8305,40,"114,842"
75 years,2005,24.3923,29,"118,890"
75 years,2006,24.2609,28,"115,412"
75 years,2007,23.8133,27,"113,382"
75 years,2008,24.0582,27,"112,228"
75 years,2009,32.2295,36,"111,699"
75 years,2010,24.2147,29,"119,762"
75 years,2011,34.1254,41,"120,145"
75 years,2012,39.2429,48,"122,315"
75 years,2013,20.1654,26,"128,934"
75 years,2014,31.1538,41,"131,605"
75 years,2015,25.5482,35,"136,996"
75 years,2016,31.0517,44,"141,699"
75 years,2017,15.1188,23,"152,128"
75 years,2018,28.9674,50,"172,608"
75 years,2019,20.0139,34,"169,882"
76 years,1975-2019,37.2757,"1,736","4,657,189"
76 years,1975,46.08,29,"62,934"
76 years,1976,43.3762,29,"66,857"
76 years,1977,66.2292,44,"66,436"
76 years,1978,57.7755,37,"64,041"
76 years,1979,54.5554,38,"69,654"
76 years,1980,73.7473,54,"73,223"
76 years,1981,55.6358,42,"75,491"
76 years,1982,49.0405,38,"77,487"
76 years,1983,45.1881,36,"79,667"
76 years,1984,42.8753,35,"81,632"
76 years,1985,32.1593,27,"83,957"
76 years,1986,49.7754,43,"86,388"
76 years,1987,46.1691,41,"88,804"
76 years,1988,43.9913,40,"90,927"
76 years,1989,56.1907,52,"92,542"
76 years,1990,50.8998,48,"94,303"
76 years,1991,41.9412,41,"97,756"
76 years,1992,51.621,51,"98,797"
76 years,1993,34.7926,35,"100,596"
76 years,1994,42.8078,44,"102,785"
76 years,1995,38.6013,41,"106,214"
76 years,1996,42.036,46,"109,430"
76 years,1997,36.2038,42,"116,010"
76 years,1998,37.5327,44,"117,231"
76 years,1999,34.0852,39,"114,419"
76 years,2000,46.4241,54,"116,319"
76 years,2001,37.0848,44,"118,647"
76 years,2002,34.9427,40,"114,473"
76 years,2003,24.467,28,"114,440"
76 years,2004,34.3367,39,"113,581"
76 years,2005,33.0655,37,"111,899"
76 years,2006,32.7056,38,"116,188"
76 years,2007,34.5543,39,"112,866"
76 years,2008,38.7639,43,"110,928"
76 years,2009,31.7046,35,"110,394"
76 years,2010,24.7235,27,"109,208"
76 years,2011,32.6862,38,"116,257"
76 years,2012,26.5736,31,"116,657"
76 years,2013,27.7633,33,"118,862"
76 years,2014,24.7448,31,"125,279"
76 years,2015,21.1484,27,"127,669"
76 years,2016,28.5919,38,"132,905"
76 years,2017,29.8006,41,"137,581"
76 years,2018,16.9049,25,"147,886"
76 years,2019,19.0966,32,"167,569"
77 years,1975-2019,41.3708,"1,813","4,382,320"
77 years,1975,75.2261,43,"57,161"
77 years,1976,72.0316,43,"59,696"
77 years,1977,46.3593,30,"64,712"
77 years,1978,83.4777,53,"63,490"
77 years,1979,55.2074,34,"61,586"
77 years,1980,59.3445,40,"67,403"
77 years,1981,66.1975,46,"69,489"
77 years,1982,46.1158,33,"71,559"
77 years,1983,56.8959,42,"73,819"
77 years,1984,47.3846,36,"75,974"
77 years,1985,58.8627,46,"78,148"
77 years,1986,53.5179,43,"80,347"
77 years,1987,63.7333,53,"83,159"
77 years,1988,31.6552,27,"85,294"
77 years,1989,53.6585,47,"87,591"
77 years,1990,50.3756,45,"89,329"
77 years,1991,48.2832,44,"91,129"
77 years,1992,41.4211,39,"94,155"
77 years,1993,44.0095,42,"95,434"
77 years,1994,54.6752,53,"96,936"
77 years,1995,41.469,41,"98,869"
77 years,1996,32.4391,33,"101,729"
77 years,1997,49.6619,52,"104,708"
77 years,1998,41.5226,46,"110,783"
77 years,1999,37.5157,42,"111,953"
77 years,2000,49.0954,54,"109,990"
77 years,2001,40.2865,45,"111,700"
77 years,2002,41.1422,47,"114,238"
77 years,2003,31.7601,35,"110,201"
77 years,2004,37.1757,41,"110,287"
77 years,2005,38.3037,42,"109,650"
77 years,2006,34.2561,37,"108,010"
77 years,2007,36.598,41,"112,028"
77 years,2008,35.7982,39,"108,944"
77 years,2009,32.6541,35,"107,184"
77 years,2010,28.9712,31,"107,003"
77 years,2011,28.335,30,"105,876"
77 years,2012,23.9821,27,"112,584"
77 years,2013,22.078,25,"113,235"
77 years,2014,32.0777,37,"115,345"
77 years,2015,33.7071,41,"121,636"
77 years,2016,30.6301,38,"124,061"
77 years,2017,32.5743,42,"128,936"
77 years,2018,20.9598,28,"133,589"
77 years,2019,31.3873,45,"143,370"
78 years,1975-2019,42.6334,"1,772","4,156,368"
78 years,1975,55.8518,31,"55,504"
78 years,1976,78.3413,43,"54,888"
78 years,1977,56.3198,33,"58,594"
78 years,1978,66.4557,42,"63,200"
78 years,1979,51.1615,32,"62,547"
78 years,1980,64.969,41,"63,107"
78 years,1981,67.9149,44,"64,787"
78 years,1982,51.038,34,"66,617"
78 years,1983,61.0909,42,"68,750"
78 years,1984,59.3782,42,"70,733"
78 years,1985,46.6623,34,"72,864"
78 years,1986,60.1669,45,"74,792"
78 years,1987,71.2574,55,"77,185"
78 years,1988,54.1487,43,"79,411"
78 years,1989,44.1783,36,"81,488"
78 years,1990,46.2436,39,"84,336"
78 years,1991,42.8227,38,"88,738"
78 years,1992,44.4449,40,"89,999"
78 years,1993,40.8664,38,"92,986"
78 years,1994,53.3658,50,"93,693"
78 years,1995,55.9331,53,"94,756"
78 years,1996,46.9126,45,"95,923"
78 years,1997,43.721,43,"98,351"
78 years,1998,37.7415,38,"100,685"
78 years,1999,43.2831,46,"106,277"
78 years,2000,42.969,46,"107,054"
78 years,2001,31.2942,33,"105,451"
78 years,2002,44.7448,48,"107,275"
78 years,2003,39.134,43,"109,879"
78 years,2004,46.2116,49,"106,034"
78 years,2005,52.6504,56,"106,362"
78 years,2006,40.6155,43,"105,871"
78 years,2007,28.7164,30,"104,470"
78 years,2008,27.728,30,"108,194"
78 years,2009,29.3449,31,"105,640"
78 years,2010,37.5679,39,"103,812"
78 years,2011,35.8045,37,"103,339"
78 years,2012,24.4427,25,"102,280"
78 years,2013,33.1205,36,"108,694"
78 years,2014,25.5853,28,"109,438"
78 years,2015,31.4745,35,"111,201"
78 years,2016,35.7067,42,"117,625"
78 years,2017,26.6951,32,"119,872"
78 years,2018,24.0566,30,"124,706"
78 years,2019,24.8139,32,"128,960"
79 years,1975-2019,42.896,"1,668","3,888,478"
79 years,1975,54.2817,29,"53,425"
79 years,1976,84.3122,44,"52,187"
79 years,1977,58.8001,31,"52,721"
79 years,1978,51.9053,29,"55,871"
79 years,1979,63.7651,39,"61,162"
79 years,1980,38.4112,22,"57,275"
79 years,1981,49.3794,29,"58,729"
79 years,1982,48.1112,29,"60,277"
79 years,1983,52.9814,33,"62,286"
79 years,1984,71.4497,46,"64,381"
79 years,1985,45.1236,30,"66,484"
79 years,1986,55.375,38,"68,623"
79 years,1987,60.749,43,"70,783"
79 years,1988,43.8723,32,"72,939"
79 years,1989,64.9531,49,"75,439"
79 years,1990,38.6777,30,"77,564"
79 years,1991,62.7179,50,"79,722"
79 years,1992,39.3832,33,"83,792"
79 years,1993,50.3967,43,"85,323"
79 years,1994,61.2919,54,"88,103"
79 years,1995,28.1684,25,"88,752"
79 years,1996,40.2068,36,"89,537"
79 years,1997,30.8639,28,"90,721"
79 years,1998,39.8183,37,"92,922"
79 years,1999,54.5685,52,"95,293"
79 years,2000,40.8224,41,"100,435"
79 years,2001,49.9452,51,"102,112"
79 years,2002,44.7223,45,"100,621"
79 years,2003,47.8394,49,"102,426"
79 years,2004,56.229,59,"104,928"
79 years,2005,35.5296,36,"101,324"
79 years,2006,34.3778,35,"101,810"
79 years,2007,36.5602,37,"101,203"
79 years,2008,36.0176,36,"99,951"
79 years,2009,28.9137,30,"103,757"
79 years,2010,37.6152,38,"101,023"
79 years,2011,35.0144,35,"99,959"
79 years,2012,30.1181,30,"99,608"
79 years,2013,38.6171,38,"98,402"
79 years,2014,26.7242,28,"104,774"
79 years,2015,35.0754,37,"105,487"
79 years,2016,31.7229,34,"107,178"
79 years,2017,28.2481,32,"113,282"
79 years,2018,31.1273,36,"115,654"
79 years,2019,24.9516,30,"120,233"
80 years,1975-2019,46.9775,"1,689","3,595,339"
80 years,1975,41.5222,20,"48,167"
80 years,1976,82.3011,39,"47,387"
80 years,1977,101.9611,47,"46,096"
80 years,1978,73.7223,34,"46,119"
80 years,1979,78.6701,38,"48,303"
80 years,1980,71.0718,37,"52,060"
80 years,1981,73.2656,39,"53,231"
80 years,1982,56.8005,31,"54,577"
80 years,1983,55.37,31,"55,987"
80 years,1984,64.0371,37,"57,779"
80 years,1985,58.6805,35,"59,645"
80 years,1986,38.9946,24,"61,547"
80 years,1987,42.7283,27,"63,190"
80 years,1988,47.8713,31,"64,757"
80 years,1989,55.5047,37,"66,661"
80 years,1990,73.943,51,"68,972"
80 years,1991,60.5387,43,"71,029"
80 years,1992,58.328,43,"73,721"
80 years,1993,54.0151,42,"77,756"
80 years,1994,44.0473,35,"79,460"
80 years,1995,42.5149,35,"82,324"
80 years,1996,55.0351,46,"83,583"
80 years,1997,41.1857,35,"84,981"
80 years,1998,49.2865,43,"87,245"
80 years,1999,49.8168,45,"90,331"
80 years,2000,43.704,41,"93,813"
80 years,2001,49.2044,47,"95,520"
80 years,2002,53.6447,52,"96,934"
80 years,2003,46.0521,44,"95,544"
80 years,2004,46.3268,45,"97,136"
80 years,2005,38.0053,38,"99,986"
80 years,2006,47.6837,46,"96,469"
80 years,2007,41.2942,40,"96,866"
80 years,2008,42.643,41,"96,147"
80 years,2009,33.652,32,"95,091"
80 years,2010,30.3266,30,"98,923"
80 years,2011,38.153,37,"96,978"
80 years,2012,37.4992,36,"96,002"
80 years,2013,34.5051,33,"95,638"
80 years,2014,29.6234,28,"94,520"
80 years,2015,36.806,37,"100,527"
80 years,2016,30.5461,31,"101,486"
80 years,2017,41.731,43,"103,041"
80 years,2018,32.1588,35,"108,835"
80 years,2019,25.2309,28,"110,975"
81 years,1975-2019,47.5212,"1,589","3,343,771"
81 years,1975,48.8541,22,"45,032"
81 years,1976,63.1396,29,"45,930"
81 years,1977,58.062,27,"46,502"
81 years,1978,67.3972,31,"45,996"
81 years,1979,85.6842,39,"45,516"
81 years,1980,84.1769,40,"47,519"
81 years,1981,88.4482,43,"48,616"
81 years,1982,76.247,38,"49,838"
81 years,1983,82.0809,42,"51,169"
81 years,1984,64.629,34,"52,608"
81 years,1985,57.0251,31,"54,362"
81 years,1986,56.794,32,"56,344"
81 years,1987,55.1126,32,"58,063"
81 years,1988,45.0173,27,"59,977"
81 years,1989,53.581,33,"61,589"
81 years,1990,44.1961,28,"63,354"
81 years,1991,44.5407,29,"65,109"
81 years,1992,55.0382,37,"67,226"
81 years,1993,63.6795,44,"69,096"
81 years,1994,42.7068,31,"72,588"
81 years,1995,40.5789,30,"73,930"
81 years,1996,51.0231,39,"76,436"
81 years,1997,54.4938,42,"77,073"
81 years,1998,57.3585,45,"78,454"
81 years,1999,56.2922,45,"79,940"
81 years,2000,35.4779,29,"81,741"
81 years,2001,42.9092,38,"88,559"
81 years,2002,53.1603,48,"90,293"
81 years,2003,37.0302,34,"91,817"
81 years,2004,49.636,45,"90,660"
81 years,2005,40.0689,37,"92,341"
81 years,2006,52.4109,50,"95,400"
81 years,2007,36.9987,34,"91,895"
81 years,2008,30.2955,28,"92,423"
81 years,2009,39.1164,36,"92,033"
81 years,2010,33.0444,30,"90,787"
81 years,2011,31.88,30,"94,103"
81 years,2012,34.6771,32,"92,280"
81 years,2013,32.8594,30,"91,298"
81 years,2014,46.0718,42,"91,162"
81 years,2015,43.2656,39,"90,141"
81 years,2016,40.6877,39,"95,852"
81 years,2017,43.4306,42,"96,706"
81 years,2018,28.5019,28,"98,239"
81 years,2019,26.9817,28,"103,774"
82 years,1975-2019,49.7145,"1,535","3,087,630"
82 years,1975,66.8705,28,"41,872"
82 years,1976,55.87,23,"41,167"
82 years,1977,69.8243,30,"42,965"
82 years,1978,72.6398,32,"44,053"
82 years,1979,68.1727,29,"42,539"
82 years,1980,74.0405,31,"41,869"
82 years,1981,56.0316,24,"42,833"
82 years,1982,111.2095,49,"44,061"
82 years,1983,64.0219,29,"45,297"
82 years,1984,68.4902,32,"46,722"
82 years,1985,81.0794,39,"48,101"
82 years,1986,74.0518,37,"49,965"
82 years,1987,75.2649,39,"51,817"
82 years,1988,50.1924,27,"53,793"
82 years,1989,61.0643,34,"55,679"
82 years,1990,43.5912,25,"57,351"
82 years,1991,66.4452,39,"58,695"
82 years,1992,55.8714,34,"60,854"
82 years,1993,60.6012,38,"62,705"
82 years,1994,55.6819,36,"64,653"
82 years,1995,51.2986,35,"68,228"
82 years,1996,48.7071,34,"69,805"
82 years,1997,51.1997,37,"72,266"
82 years,1998,44.9236,33,"73,458"
82 years,1999,52.2074,39,"74,702"
82 years,2000,37.6262,29,"77,074"
82 years,2001,41.6103,32,"76,904"
82 years,2002,55.2102,46,"83,318"
82 years,2003,52.851,45,"85,145"
82 years,2004,61.4187,53,"86,293"
82 years,2005,37.4431,32,"85,463"
82 years,2006,42.4443,37,"87,173"
82 years,2007,59.9454,54,"90,082"
82 years,2008,43.8187,38,"86,721"
82 years,2009,47.9967,42,"87,506"
82 years,2010,26.3278,23,"87,360"
82 years,2011,35.9366,31,"86,263"
82 years,2012,33.5537,30,"89,409"
82 years,2013,38.8185,34,"87,587"
82 years,2014,36.8566,32,"86,823"
82 years,2015,35.7559,31,"86,699"
82 years,2016,34.9581,30,"85,817"
82 years,2017,28.5426,26,"91,092"
82 years,2018,28.2775,26,"91,946"
82 years,2019,33.1533,31,"93,505"
83 years,1975-2019,50.0182,"1,425","2,848,962"
83 years,1975,74.8586,27,"36,068"
83 years,1976,55.1978,21,"38,045"
83 years,1977,44.5201,17,"38,185"
83 years,1978,71.8765,29,"40,347"
83 years,1979,59.2476,24,"40,508"
83 years,1980,58.4201,23,"39,370"
83 years,1981,84.8515,34,"40,070"
83 years,1982,36.5043,15,"41,091"
83 years,1983,85.6511,36,"42,031"
83 years,1984,55.6509,24,"43,126"
83 years,1985,70.0803,31,"44,235"
83 years,1986,57.2259,26,"45,434"
83 years,1987,57.5816,27,"46,890"
83 years,1988,78.2167,38,"48,583"
83 years,1989,41.8277,21,"50,206"
83 years,1990,55.705,29,"52,060"
83 years,1991,66.032,36,"54,519"
83 years,1992,69.6453,39,"55,998"
83 years,1993,41.774,24,"57,452"
83 years,1994,71.2504,42,"58,947"
83 years,1995,56.1306,34,"60,573"
83 years,1996,48.6343,31,"63,741"
83 years,1997,44.7814,29,"64,759"
83 years,1998,65.6139,44,"67,059"
83 years,1999,48.7646,33,"67,672"
83 years,2000,35.0309,24,"68,511"
83 years,2001,61.2251,44,"71,866"
83 years,2002,51.6753,37,"71,601"
83 years,2003,43.6233,34,"77,940"
83 years,2004,51.3939,41,"79,776"
83 years,2005,55.5851,45,"80,957"
83 years,2006,44.7361,36,"80,472"
83 years,2007,47.6406,39,"81,863"
83 years,2008,57.6681,49,"84,969"
83 years,2009,49.9921,41,"82,013"
83 years,2010,40.0875,33,"82,320"
83 years,2011,32.7071,27,"82,551"
83 years,2012,33.0955,27,"81,582"
83 years,2013,26.0278,22,"84,525"
83 years,2014,38.5928,32,"82,917"
83 years,2015,39.0253,32,"81,998"
83 years,2016,36.6113,30,"81,942"
83 years,2017,37.0233,30,"81,030"
83 years,2018,40.624,35,"86,156"
83 years,2019,37.9293,33,"87,004"
84 years,1975-2019,51.831,"1,341","2,587,253"
84 years,1975,83.2346,26,"31,237"
84 years,1976,65.2498,21,"32,184"
84 years,1977,69.0131,24,"34,776"
84 years,1978,65.5103,23,"35,109"
84 years,1979,82.5809,30,"36,328"
84 years,1980,68.9161,25,"36,276"
84 years,1981,46.0655,17,"36,904"
84 years,1982,77.1749,29,"37,577"
84 years,1983,52.0088,20,"38,455"
84 years,1984,81.1956,32,"39,411"
84 years,1985,82.0691,33,"40,210"
84 years,1986,55.7319,23,"41,269"
84 years,1987,61.746,26,"42,108"
84 years,1988,50.5515,22,"43,520"
84 years,1989,55.5124,25,"45,035"
84 years,1990,45.4015,21,"46,254"
84 years,1991,62.8865,30,"47,705"
84 years,1992,59.6777,30,"50,270"
84 years,1993,79.8909,41,"51,320"
84 years,1994,62.6376,33,"52,684"
84 years,1995,62.8373,34,"54,108"
84 years,1996,61.0819,34,"55,663"
84 years,1997,78.7267,46,"58,430"
84 years,1998,61.9849,37,"59,692"
84 years,1999,51.9244,32,"61,628"
84 years,2000,40.3063,25,"62,025"
84 years,2001,52.4101,33,"62,965"
84 years,2002,52.9998,35,"66,038"
84 years,2003,41.0615,27,"65,755"
84 years,2004,50.2948,36,"71,578"
84 years,2005,57.139,42,"73,505"
84 years,2006,38.8568,29,"74,633"
84 years,2007,32.2884,24,"74,330"
84 years,2008,33.1468,25,"75,422"
84 years,2009,54.8043,43,"78,461"
84 years,2010,46.0278,35,"76,041"
84 years,2011,41.6309,32,"76,866"
84 years,2012,43.9333,34,"77,390"
84 years,2013,49.7473,38,"76,386"
84 years,2014,41.611,33,"79,306"
84 years,2015,38.552,30,"77,817"
84 years,2016,35.1306,27,"76,856"
84 years,2017,31.3026,24,"76,671"
84 years,2018,32.8399,25,"76,127"
84 years,2019,37.07,30,"80,928"
85+ years,1975-2019,~,0,0
85+ years,1975,~,0,0
85+ years,1976,~,0,0
85+ years,1977,~,0,0
85+ years,1978,~,0,0
85+ years,1979,~,0,0
85+ years,1980,~,0,0
85+ years,1981,~,0,0
85+ years,1982,~,0,0
85+ years,1983,~,0,0
85+ years,1984,~,0,0
85+ years,1985,~,0,0
85+ years,1986,~,0,0
85+ years,1987,~,0,0
85+ years,1988,~,0,0
85+ years,1989,~,0,0
85+ years,1990,~,0,0
85+ years,1991,~,0,0
85+ years,1992,~,0,0
85+ years,1993,~,0,0
85+ years,1994,~,0,0
85+ years,1995,~,0,0
85+ years,1996,~,0,0
85+ years,1997,~,0,0
85+ years,1998,~,0,0
85+ years,1999,~,0,0
85+ years,2000,~,0,0
85+ years,2001,~,0,0
85+ years,2002,~,0,0
85+ years,2003,~,0,0
85+ years,2004,~,0,0
85+ years,2005,~,0,0
85+ years,2006,~,0,0
85+ years,2007,~,0,0
85+ years,2008,~,0,0
85+ years,2009,~,0,0
85+ years,2010,~,0,0
85+ years,2011,~,0,0
85+ years,2012,~,0,0
85+ years,2013,~,0,0
85+ years,2014,~,0,0
85+ years,2015,~,0,0
85+ years,2016,~,0,0
85+ years,2017,~,0,0
85+ years,2018,~,0,0
85+ years,2019,~,0,0
Unknown,1975-2019,~,0,0
Unknown,1975,~,0,0
Unknown,1976,~,0,0
Unknown,1977,~,0,0
Unknown,1978,~,0,0
Unknown,1979,~,0,0
Unknown,1980,~,0,0
Unknown,1981,~,0,0
Unknown,1982,~,0,0
Unknown,1983,~,0,0
Unknown,1984,~,0,0
Unknown,1985,~,0,0
Unknown,1986,~,0,0
Unknown,1987,~,0,0
Unknown,1988,~,0,0
Unknown,1989,~,0,0
Unknown,1990,~,0,0
Unknown,1991,~,0,0
Unknown,1992,~,0,0
Unknown,1993,~,0,0
Unknown,1994,~,0,0
Unknown,1995,~,0,0
Unknown,1996,~,0,0
Unknown,1997,~,0,0
Unknown,1998,~,0,0
Unknown,1999,~,0,0
Unknown,2000,~,0,0
Unknown,2001,~,0,0
Unknown,2002,~,0,0
Unknown,2003,~,0,0
Unknown,2004,~,0,0
Unknown,2005,~,0,0
Unknown,2006,~,0,0
Unknown,2007,~,0,0
Unknown,2008,~,0,0
Unknown,2009,~,0,0
Unknown,2010,~,0,0
Unknown,2011,~,0,0
Unknown,2012,~,0,0
Unknown,2013,~,0,0
Unknown,2014,~,0,0
Unknown,2015,~,0,0
Unknown,2016,~,0,0
Unknown,2017,~,0,0
Unknown,2018,~,0,0
Unknown,2019,~,0,0
,"Rates are per 100,000 and age-adjusted to the 2000 US Std Population (single ages to 84 - Census P25-1130) standard.",,,
  ~,Statistic could not be calculated.,,,
